Code,Name,Cost,OnBox,Img
95011,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (белый) (пластик),"45,60",10,
95011-1,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик) (Gold),"51,14",10,
95011-2,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик) (Pyramid),"51,14",10,
95011-3,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик)r (Silver),"51,14",10,
95011-4,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик) (Oak),"51,14",10,
95011-5,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик)r (Cherry),"51,14",10,
95011-6,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик) (Walnut),"51,14",10,
95012,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (белый) (пластик),"45,60",10,
95012-1,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (Золотой),"51,14",10,
95012-2,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик) (Пирамида),"51,14",10,
95012-3,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик)(Серебро),"51,14",10,
95012-4,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик)(Бук),"51,14",10,
95012-5,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик) (Вишневый),"51,14",10,
95012-6,Светильник квадратный потолочный с датичиком 2хЕ27 /2х26 watt (пластик) (Орех),"51,14",10,
95013,Светильник квадратный потолочный мах 26 watt (esl) (белый) (пластик),"12,05",40,
95013-1,Светильник квадратный потолочный мах 26 watt (esl) (золото)(пластик),"16,48",40,
95013-2,Светильник квадратный потолочный мах 26 watt (esl) (темно-серый) (пластик),"16,48",40,
95013-3,Светильник квадратный потолочный мах 26 watt (esl) (серебро) (пластик),"16,48",40,
95013-4,Светильник квадратный потолочный мах 26 watt (esl) (бук) (пластик),"16,48",40,
95013-5,Светильник квадратный потолочный мах 26 watt (esl) (вишня) (пластик),"16,48",40,
95013-6,Светильник квадратный потолочный мах 26 watt (esl) (орех) (пластик),"16,48",40,
95014,Светильник квадратный потолочный мах 26 watt (esl) (белый) (пластик),"12,05",40,
95014-1,Светильник квадратный потолочный мах 26 watt (esl) (золото) (пластик),"16,48",40,
95014-2,Светильник квадратный потолочный мах 26 watt (esl) (темно-серый) (пластик),"16,48",40,
95014-3,Светильник квадратный потолочный мах 26 watt (esl) (серебро) (пластик),"16,48",40,
95014-4,Светильник квадратный потолочный мах 26 watt (esl) (бук) (пластик),"16,48",40,
95014-5,Светильник квадратный потолочный мах 26 watt (esl) (вишня) (пластик),"16,48",40,
95014-6,Светильник квадратный потолочный мах 26 watt (esl) (орех) (пластик),"16,48",40,
95016-1,Светильник круглый потолочный мах 26 watt (esl) (белый) (пластик),"7,29",40,
95016-1-1,Светильник круглый потолочный мах 26 watt (esl) (золото) (пластик),"9,13",40,
95016-1-2,Светильник круглый потолочный мах 26 watt (esl) (темно-серый) (пластик),"9,13",40,
95016-1-3,Светильник круглый потолочный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95016-1-4,Светильник круглый потолочный Ø 225 мах 26 watt (esl) (бук) (пластик),"9,13",40,
95016-1-5,Светильник круглый потолочный Ø 225 мах 26 watt (esl) (вишня) (пластик),"9,13",40,
95016-1-6,Светильник круглый потолочный Ø 225 мах 26 watt (esl) (орех) (пластик),"9,13",40,
95016-2,Светильник круглый потолочный мах 26 watt (esl) (белый) (пластик),"7,29",40,
95016-2-1,Светильник круглый потолочный мах 26 watt (esl) (золото) (пластик),"9,13",40,
95016-2-2,Светильник круглый потолочный мах 26 watt (esl) (темно-серый) (пластик),"9,13",40,
95016-2-3,Светильник круглый потолочный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95016-2-4,Светильник круглый потолочный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95016-2-5,Светильник круглый потолочный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95016-2-6,Светильник круглый потолочный мах 26 watt (esl) (орех) (пластик),"9,13",40,
95016-3,Светильник круглый потолочный мах 26 watt (esl) (белый) (пластик),"7,29",40,
95016-3-1,Светильник круглый потолочный мах 26 watt (esl) (золото) (пластик),"9,13",40,
95016-3-2,Светильник круглый потолочный мах 26 watt (esl) (темно-серый) (пластик),"9,13",40,
95016-3-3,Светильник круглый потолочный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95016-3-4,Светильник круглый потолочный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95016-3-5,Светильник круглый потолочный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95016-3-6,Светильник круглый потолочный мах 26 watt (esl) (орех) (пластик),"9,13",40,
95016-4,Светильник круглый потолочный мах 26 watt (esl) (белый) (пластик),"7,29",40,
95016-4-1,Светильник круглый потолочный мах 26 watt (esl) (золото) (пластик),"9,13",40,
95016-4-2,Светильник круглый потолочный мах 26 watt (esl) (темно-серый) (пластик),"9,13",40,
95016-4-3,Светильник круглый потолочный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95016-4-4,Светильник круглый потолочный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95016-4-5,Светильник круглый потолочный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95016-4-6,Светильник круглый потолочный мах 26 watt (esl) (орех) (пластик),"9,13",40,
95016-5,"Светильник круглый потолочный мах 26 watt (esl) (белый) (пластик) ""Луна-5","7,29",40,
95016-6,"Светильник круглый потолочный мах 26 watt (esl) (белый) (пластик) ""Луна-6","7,29",40,
95017-1,Светильник настеный овалный мах 26 watt (esl) (белый ) (пластик),"7,29",40,
95017-1-1,Светильник настеный овалный мах 26 watt (esl) (золото),"9,13",40,
95017-1-2,Светильник настеный овалный мах 26 watt (esl) (темно-серый),"9,13",40,
95017-1-3,Светильник настеный овалный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95017-1-4,Светильник настеный овалный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95017-1-5,Светильник настеный овалный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95017-1-6,Светильник настеный овалный 26 watt (esl) (золото),"9,13",40,
95017-2,Светильник настеный овалный мах 26 watt (esl) (белый ) (пластик),"7,29",40,
95017-2-1,Светильник настеный овалный мах 26 watt (esl) (золото),"9,13",40,
95017-2-2,Светильник настеный овалный мах 26 watt (esl) (темно-серый),"9,13",40,
95017-2-3,Светильник настеный овалный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95017-2-4,Светильник настеный овалный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95017-2-5,Светильник настеный овалный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95017-2-6,Светильник настеный овалный 26 watt (esl) (золото),"9,13",40,
95017-3,Светильник настеный овалный мах 26 watt (esl) (белый ) (пластик),"7,29",40,
95017-3-1,Светильник настеный овалный мах 26 watt (esl) (золото),"9,13",40,
95017-3-2,Светильник настеный овалный мах 26 watt (esl) (темно-серый),"9,13",40,
95017-3-3,Светильник настеный овалный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95017-3-4,Светильник настеный овалный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95017-3-5,Светильник настеный овалный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95017-3-6,Светильник настеный овалный 26 watt (esl) (золото),"9,13",40,
95017-4,Светильник настеный овалный мах 26 watt (esl) (белый ) (пластик),"7,29",40,
95017-4-1,Светильник настеный овалный мах 26 watt (esl) (золото),"9,13",40,
95017-4-2,Светильник настеный овалный мах 26 watt (esl) (темно-серый),"9,13",40,
95017-4-3,Светильник настеный овалный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95017-4-4,Светильник настеный овалный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95017-4-5,Светильник настеный овалный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95017-4-6,Светильник настеный овалный 26 watt (esl) (золото),"9,13",40,
95017-5,Светильник настеный овалный мах 26 watt (esl) (белый ) (пластик),"7,29",40,
95017-5-1,Светильник настеный овалный мах 26 watt (esl) (золото),"9,13",40,
95017-5-2,Светильник настеный овалный мах 26 watt (esl) (темно-серый),"9,13",40,
95017-5-3,Светильник настеный овалный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95017-5-4,Светильник настеный овалный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95017-5-5,Светильник настеный овалный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95017-5-6,Светильник настеный овалный 26 watt (esl) (золото),"9,13",40,
95017-6,Светильник настеный овалный мах 26 watt (esl) (белый ) (пластик),"7,29",40,
95017-6-1,Светильник настеный овалный мах 26 watt (esl) (золото),"9,13",40,
95017-6-2,Светильник настеный овалный мах 26 watt (esl) (темно-серый),"9,13",40,
95017-6-3,Светильник настеный овалный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95017-6-4,Светильник настеный овалный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95017-6-5,Светильник настеный овалный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95017-6-6,Светильник настеный овалный 26 watt (esl) (золото),"9,13",40,
95017-7,Светильник настеный овалный мах 26 watt (esl) (белый ) (пластик),"7,29",40,
95017-7-1,Светильник настеный овалный мах 26 watt (esl) (золото),"9,13",40,
95017-7-2,Светильник настеный овалный мах 26 watt (esl) (темно-серый),"9,13",40,
95017-7-3,Светильник настеный овалный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95017-7-4,Светильник настеный овалный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95017-7-5,Светильник настеный овалный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95017-7-6,Светильник настеный овалный 26 watt (esl) (золото),"9,13",40,
95017-8,Светильник настеный овалный мах 26 watt (esl) (белый ) (пластик),"7,29",40,
95017-8-1,Светильник настеный овалный мах 26 watt (esl) (золото),"9,13",40,
95017-8-2,Светильник настеный овалный мах 26 watt (esl) (темно-серый),"9,13",40,
95017-8-3,Светильник настеный овалный мах 26 watt (esl) (серебро) (пластик),"9,13",40,
95017-8-4,Светильник настеный овалный мах 26 watt (esl) (бук) (пластик),"9,13",40,
95017-8-5,Светильник настеный овалный мах 26 watt (esl) (вишня ) (пластик),"9,13",40,
95017-8-6,Светильник настеный овалный 26 watt (esl) (золото),"9,13",40,
95018-1,Светильник маленькйй потолочный мах 26 watt (esl) (пластик)(белый ),"5,54",40,
95018-2,Светильник маленькйй потолочный мах 26 watt (esl) (пластик)(белый ),"5,54",40,
95025,Светильник круглый потолочный 2хЕ27/2х26 watt ( белый ) (пластик),"23,94",10,
95025-1,Светильник круглый потолочный 2хЕ27/2х26 watt (золото ) (пластик),"23,94",10,
95025-2,Светильник круглый потолочный 2хЕ27/2х26 watt ( металлик ) (пластик),"23,94",10,
95026,Светильник круглый потолочный 2хЕ27/2х26 watt ( белый ) (пластик),"23,94",10,
95026-1,Светильник круглый потолочный 2хЕ27/2х26 watt (золото ) (пластик),"23,94",10,
95026-2,Светильник круглый потолочный 2хЕ27/2х26 watt ( металлик ) (пластик),"23,94",10,
95027,Светильник настенный мах 26 watt (esl) Е 27 ( белый ) (пластик),"6,46",40,95027.png
95028,Светильник настенный мах 26 watt (esl) Е 27 ( белый ) (пластик),"6,46",40,95028.png
95029,Светильник потолочный мах 26 watt (esl) Е 27(белый) (пластик),"14,00",30,
95029-1,Светильник потолочный мах 26 watt (esl) Е 27 (золото) (пластик),"14,00",30,
95029-2,Светильник потолочный мах 26 watt (esl) Е 27 (металлик) (пластик),"14,00",30,
95030,Светильник потолочный мах 26 watt (esl) Е 27 (белый) (пластик),"14,00",30,
95030-1,Светильник потолочный мах 26 watt (esl) Е 27 (золото) (пластик),"14,00",30,
95030-2,Светильник потолочный мах 26 watt (esl) Е 27 (металлик) (пластик),"14,00",30,
95031-1,Светильник настенный прямоугольный мах 26 watt (esl) Е 27 ( белый ) (пластик),"16,59",16,95031-1.png
95031-2,Светильник настенный прямоугольный мах 26 watt (esl) Е 27 ( черный) (пластик),"16,59",16,95031-2.png
95032-1,Светильник потолочный 2 х Е27 (белый) (пластик),"21,58",10,
95032-1-1,светильникпотолочный 2 х Е27 (золото) (пластик),"21,58",10,
95032-1-2,Светильник потолочный 2 х Е27 (металлик) (пластик),"21,58",10,
95032-2,Светильник потолочный 2 х Е27 (белый) (пластик),"21,58",10,
95032-2-1,Светильник потолочный 2 х Е27 (золото) (пластик),"21,58",10,
95032-2-2,Светильник потолочный 2 х Е27 (металлик) (пластик),"21,58",10,
95032-3,Светильник потолочный 2 х Е27 (белый) (пластик),"21,58",10,
95032-3-1,Светильник потолочный 2 х Е27 (золото) (пластик),"21,58",10,
95032-3-2,Светильник потолочный 2 ХЕ27 (металлик) (пластик),"21,58",10,
95032-4,Светильник потолочный 2 ХЕ27 (белый) (пластик),"21,58",10,
95032-4-1,Светильник отолочный 2 ХЕ27 (золото) (пластик),"21,58",10,
95032-4-2,Светильник потолочный 2 ХЕ27 (металлик) (пластик),"21,58",10,
95036,Светильник потолочный мах 26 watt (esl) Е 27 (белый) (пластик),"14,00",30,
95036-1,Светильник потолочный мах 26 watt (esl) Е 27 (золото) (пластик),"14,00",30,
95036-2,Светильник потолочный мах 26 watt (esl) Е 27 (металлик) (пластик),"14,00",30,
95037,Светильник потолочный мах 26 watt (esl) Е 27 (белый) (пластик),"14,00",30,
95037-1,Светильник потолочный мах 26 watt (esl) Е 27 (золото) (пластик),"14,00",30,
95037-2,Светильник потолочный мах 26 watt (esl) Е 27 (металлик) (пластик),"14,00",30,
95033-1,Светильник потолочный 2 ХЕ27 (белый) (пластик),"24,31",10,
95033-1-1,Светильник потолочный 3ХЕ27 (золото) (пластик),"24,31",10,
95033-1-2,Светильник потолочный 3ХЕ27 (металлик) (пластик),"24,31",10,
95033-2,Светильник потолочный 3ХЕ27 (белый) (пластик),"24,31",10,
95033-2-1,Светильник потолочный 3ХЕ27 (золото) (пластик),"24,31",10,
95033-2-2,Светильник потолочны 3ХЕ27 (металлик) (пластик),"24,31",10,
95033-3,Светильник потолочный 3ХЕ27 (белый) (пластик),"24,31",10,
95033-3-1,Светильник потолочный 3ХЕ27 (золото) (пластик),"24,31",10,
95033-3-2,Светильник потолочный 3ХЕ27 (металлик) (пластик),"24,31",10,
95033-4,Светильник потолочный 3ХЕ27 (белый) (пластик),"24,31",10,
95033-4-1,Светильник потолочный 3ХЕ27 (золото) (пластик),"24,31",10,
95033-4-2,Светильник потолочный 3ХЕ27 (металлик) (пластик),"24,31",10,
95034-1,Светильник маленький наружный мах 26 watt (ESL) Е27 (прозрач.) (белый ) (пластик),"11,05",32,95034-1.png
95034-2,Светильник маленький наружный мах 26 watt (ESL) Е27(прозрач.) (черный) (пластик),"11,05",32,95034-2.png
95034-3,Светильник маленький наружный мах 26 watt (ESL) Е27 (прозрач.) (серый) (пластик),"11,05",32,95034-3.png
95035-1,Светильник маленький наружный мах 26 watt (ESL) Е27 (непрозрач.)(белый) (пластик),"11,05",32,95035-1.png
95035-2,Светильник маленький наружный мах 26 watt (ESL) Е27 (непрозрач.) (черный) (пластик),"11,05",32,95035-2.png
95035-3,Светильник маленький наружный мах 26 watt (ESL) Е27 (непрозрач.)(серый) (пластик),"11,05",32,95035-3.png
339011,Светильник потолочный с датчиком движения (пластик) 2*25 Вт,"32,05",10,
